Слово,Ключ,,,,
пустынь,,,,поедьте,поезжайте
тюля,из,,,ездийте,ездите
кресел,,,,,
мозолью,с,,,,
доньев,без,,,,
комментариев,без,,,,
крендели,,,,,
повидлом,с,,,,
иссяк,,,,,
баклажанов,из,,,,
поинтереснее,,,,,
клади,не,,,,
ездите,не,,,,
мягчайший,,,,,
трерлет,,,,,
улёгшийся,,,,,
положите,,,,положьте,положите
наилучшего,всего,,,,
будущее,,,,,
завидующий,,,,,
вмёрзший,,,,,
нелепейшая,,,,,
обретший,,,,,
сторожа,,,,,
глубже,,,,,
раздумий,,,,,
угрюмее,,,,,
положи,,,,,
ворот,у,,,,
